advertiser,page_id,page_name,ad_id,ad_creation_time,ad_delivery_start_time,currency,reached_country,body_text,link_title,link_caption,link_description,publisher_platforms,ad_snapshot_url,eu_ads_found,status
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1485022566056315,2025-10-08,2025-10-09,USD,US,,"Porcelain, Perfected",,,,https://www.facebook.com/ads/library/?id=1485022566056315,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,793700573440441,2025-10-08,2025-10-09,USD,US,,Family-Owned Experts,,,,https://www.facebook.com/ads/library/?id=793700573440441,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1332528775196065,2025-10-08,2025-10-09,USD,US,,Kitchens Done Right,,,,https://www.facebook.com/ads/library/?id=1332528775196065,0,US/empty
Pacific Stone SoCal,471114526327906,Pacific Stone SoCal,1188653706426157,2025-10-08,2025-10-09,USD,US,,{{product.name}},,,,https://www.facebook.com/ads/library/?id=1188653706426157,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",991552010180289,2026-07-02,2026-07-02,USD,US,,Countertop Refresh & Reseal — $169,,,,https://www.facebook.com/ads/library/?id=991552010180289,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1326150615611188,2026-06-16,2026-06-16,USD,US,,Fabrication You Can Trust,,,,https://www.facebook.com/ads/library/?id=1326150615611188,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1048565144774367,2026-06-10,2026-06-10,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1048565144774367,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1325484762350135,2026-06-10,2026-06-10,USD,US,,Best Quartz Countertops on Sale Now!,,,,https://www.facebook.com/ads/library/?id=1325484762350135,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1014830384287027,2026-06-10,2026-06-10,USD,US,,Perfect Countertops for Every Design,,,,https://www.facebook.com/ads/library/?id=1014830384287027,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",978484538304876,2026-06-10,2026-06-10,USD,US,,Fabrication You Can Trust,,,,https://www.facebook.com/ads/library/?id=978484538304876,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",2200876827331836,2026-04-21,2026-04-21,USD,US,,,,,,https://www.facebook.com/ads/library/?id=2200876827331836,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",934357059487611,2026-04-20,2026-04-20,USD,US,,,,,,https://www.facebook.com/ads/library/?id=934357059487611,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1497737005041749,2026-03-11,2026-03-11,USD,US,,The Perfect Stone Slab in Stock,,,,https://www.facebook.com/ads/library/?id=1497737005041749,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",1249887007355304,2026-03-11,2026-03-11,USD,US,,The Perfect Stone Slab in Stock,,,,https://www.facebook.com/ads/library/?id=1249887007355304,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",661755536793071,2025-10-30,2025-10-30,USD,US,,,,,,https://www.facebook.com/ads/library/?id=661755536793071,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",804556279235921,2025-10-30,2025-10-30,USD,US,,,,,,https://www.facebook.com/ads/library/?id=804556279235921,0,US/empty
"Stone Masters, Inc.",175590904720,"Stone Masters, Inc.",856223689731646,2024-04-23,2024-04-23,USD,US,,Stone and Quartz Counters,,,,https://www.facebook.com/ads/library/?id=856223689731646,0,US/empty
Sk Stones USA,172343479474457,Sk Stones USA,26446315875044780,2026-07-10,2026-07-10,USD,US,,Luxury Home with SK Stones | Luxury Home with SK Stones,,,,https://www.facebook.com/ads/library/?id=26446315875044780,0,US/empty
Sk Stones USA,172343479474457,Sk Stones USA,1723435615331267,2026-07-10,2026-07-10,USD,US,,Luxury Home with SK Stones | Luxury Home with SK Stones,,,,https://www.facebook.com/ads/library/?id=1723435615331267,0,US/empty
Sk Stones USA,172343479474457,Sk Stones USA,1231903062182036,2026-01-07,2026-01-07,USD,US,,Sk Stones USA | Top Rated Stone Supplier in Florida | Get Free Quote | Get Free Estimate | Get Free Quote,,,,https://www.facebook.com/ads/library/?id=1231903062182036,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1509279830682389,2026-07-10,2026-07-10,USD,US,,,,,,https://www.facebook.com/ads/library/?id=1509279830682389,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1009057888567946,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1009057888567946,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1808235337000494,2026-07-10,2026-07-10,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=1808235337000494,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,3329512363890015,2026-07-10,2026-07-10,USD,US,,Free quotes for kitchen & bathroom remodeling projects.,,,,https://www.facebook.com/ads/library/?id=3329512363890015,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,893951213760285,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=893951213760285,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1030918926492468,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1030918926492468,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,1310153584434961,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=1310153584434961,0,US/empty
Spencer Granite Co,1881955151887046,Spencer Granite Co,4540707149487303,2026-07-10,2026-07-10,USD,US,,Get Your Free Countertop Estimate in Hudson! 🏡✨,,,,https://www.facebook.com/ads/library/?id=4540707149487303,0,US/empty
